	Metaepoch max performer: 0.7426, min performer: 0.6688

	Metaepoch mean: 0.7053, std: 0.01
	Metaepoch max performer: 0.7270, min performer: 0.6668

	Metaepoch mean: 0.7127, std: 0.01
	Metaepoch max performer: 0.7368, min performer: 0.6690

	Metaepoch mean: 0.7109, std: 0.01
	Metaepoch max performer: 0.7346, min performer: 0.6592

	Metaepoch mean: 0.7019, std: 0.01
	Metaepoch max performer: 0.7246, min performer: 0.6594

	Metaepoch mean: 0.7013, std: 0.01
	Metaepoch max performer: 0.7216, min performer: 0.6582

	Metaepoch mean: 0.6971, std: 0.01
	Metaepoch max performer: 0.7192, min performer: 0.6448

	Metaepoch mean: 0.6797, std: 0.01
	Metaepoch max performer: 0.7016, min performer: 0.6384

	Metaepoch mean: 0.7002, std: 0.01
	Metaepoch max performer: 0.7250, min performer: 0.6512

	Metaepoch mean: 0.7240, std: 0.01
	Metaepoch max performer: 0.7472, min performer: 0.6246

	Metaepoch mean: 0.6996, std: 0.01
	Metaepoch max performer: 0.7254, min performer: 0.6578

	Metaepoch mean: 0.6874, std: 0.01
	Metaepoch max performer: 0.7092, min performer: 0.6426

	Metaepoch mean: 0.7064, std: 0.01
	Metaepoch max performer: 0.7286, min performer: 0.6608

	Metaepoch mean: 0.7156, std: 0.01
	Metaepoch max performer: 0.7372, min performer: 0.6636

	Metaepoch mean: 0.6905, std: 0.01
	Metaepoch max performer: 0.7130, min performer: 0.6560

	Metaepoch mean: 0.6886, std: 0.01
	Metaepoch max performer: 0.7106, min performer: 0.6396

	Metaepoch mean: 0.6948, std: 0.01
	Metaepoch max performer: 0.7156, min performer: 0.6548

	Metaepoch mean: 0.7085, std: 0.01
	Metaepoch max performer: 0.7356, min performer: 0.6656

	Metaepoch mean: 0.7088, std: 0.01
	Metaepoch max performer: 0.7314, min performer: 0.6718

	Metaepoch mean: 0.7123, std: 0.01
	Metaepoch max performer: 0.7338, min performer: 0.6514

	Metaepoch mean: 0.7155, std: 0.01
	Metaepoch max performer: 0.7374, min performer: 0.6748

	Metaepoch mean: 0.6920, std: 0.01
	Metaepoch max performer: 0.7142, min performer: 0.6430

	Metaepoch mean: 0.6896, std: 0.01
	Metaepoch max performer: 0.7142, min performer: 0.6224

	Metaepoch mean: 0.7004, std: 0.01
	Metaepoch max performer: 0.7206, min performer: 0.6238

	Metaepoch mean: 0.7072, std: 0.01
	Metaepoch max performer: 0.7268, min performer: 0.6726

	Metaepoch mean: 0.7244, std: 0.01
	Metaepoch max performer: 0.7496, min performer: 0.6670

	Metaepoch mean: 0.7156, std: 0.01
	Metaepoch max performer: 0.7384, min performer: 0.6802

	Metaepoch mean: 0.6845, std: 0.01
	Metaepoch max performer: 0.7062, min performer: 0.6354

	Metaepoch mean: 0.7062, std: 0.01
	Metaepoch max performer: 0.7292, min performer: 0.6696

	Metaepoch mean: 0.7172, std: 0.01
	Metaepoch max performer: 0.7444, min performer: 0.6796

	Metaepoch mean: 0.6926, std: 0.01
	Metaepoch max performer: 0.7236, min performer: 0.6166

	Metaepoch mean: 0.7111, std: 0.01
	Metaepoch max performer: 0.7368, min performer: 0.6762

	Metaepoch mean: 0.7253, std: 0.01
	Metaepoch max performer: 0.7490, min performer: 0.6554

	Metaepoch mean: 0.7023, std: 0.01
	Metaepoch max performer: 0.7222, min performer: 0.6540

	Metaepoch mean: 0.6984, std: 0.01
	Metaepoch max performer: 0.7240, min performer: 0.6390

	Metaepoch mean: 0.7130, std: 0.01
	Metaepoch max performer: 0.7378, min performer: 0.6708

	Metaepoch mean: 0.7016, std: 0.01
	Metaepoch max performer: 0.7274, min performer: 0.6538

	Metaepoch mean: 0.7065, std: 0.01
	Metaepoch max performer: 0.7288, min performer: 0.6642

	Metaepoch mean: 0.6947, std: 0.01
	Metaepoch max performer: 0.7194, min performer: 0.6542

	Metaepoch mean: 0.7043, std: 0.01
	Metaepoch max performer: 0.7290, min performer: 0.6488

	Metaepoch mean: 0.7030, std: 0.01
	Metaepoch max performer: 0.7274, min performer: 0.6400

	Metaepoch mean: 0.7093, std: 0.01
	Metaepoch max performer: 0.7338, min performer: 0.6784

	Metaepoch mean: 0.7239, std: 0.01
	Metaepoch max performer: 0.7434, min performer: 0.6418

	Metaepoch mean: 0.7048, std: 0.01
	Metaepoch max performer: 0.7324, min performer: 0.6514

	Metaepoch mean: 0.7151, std: 0.01
	Metaepoch max performer: 0.7460, min performer: 0.6554

	Metaepoch mean: 0.7218, std: 0.01
	Metaepoch max performer: 0.7442, min performer: 0.6708

	Metaepoch mean: 0.7161, std: 0.01
	Metaepoch max performer: 0.7400, min performer: 0.6786

	Metaepoch mean: 0.6980, std: 0.01
	Metaepoch max performer: 0.7234, min performer: 0.6552

	Metaepoch mean: 0.6942, std: 0.01
	Metaepoch max performer: 0.7200, min performer: 0.6572

	Metaepoch mean: 0.7042, std: 0.01
	Metaepoch max performer: 0.7280, min performer: 0.6690

	Metaepoch mean: 0.7072, std: 0.01
	Metaepoch max performer: 0.7336, min performer: 0.6488

	Metaepoch mean: 0.7001, std: 0.01
	Metaepoch max performer: 0.7210, min performer: 0.6528

	Metaepoch mean: 0.7047, std: 0.01
	Metaepoch max performer: 0.7278, min performer: 0.6682

	Metaepoch mean: 0.7016, std: 0.01
	Metaepoch max performer: 0.7246, min performer: 0.6682

	Metaepoch mean: 0.6966, std: 0.01
	Metaepoch max performer: 0.7204, min performer: 0.6440

	Metaepoch mean: 0.7177, std: 0.01
	Metaepoch max performer: 0.7432, min performer: 0.6620

	Metaepoch mean: 0.6985, std: 0.01
	Metaepoch max performer: 0.7212, min performer: 0.6454

New best performer mean: 0.7528, std: 0.05
	Metaepoch mean: 0.7312, std: 0.01
	Metaepoch max performer: 0.7528, min performer: 0.6702

	Metaepoch mean: 0.6992, std: 0.01
	Metaepoch max performer: 0.7226, min performer: 0.6658

	Metaepoch mean: 0.7070, std: 0.01
	Metaepoch max performer: 0.7302, min performer: 0.6686

	Metaepoch mean: 0.7274, std: 0.01
	Metaepoch max performer: 0.7522, min performer: 0.6786

	Metaepoch mean: 0.7099, std: 0.01
	Metaepoch max performer: 0.7346, min performer: 0.6696

	Metaepoch mean: 0.7204, std: 0.01
	Metaepoch max performer: 0.7418, min performer: 0.6716

	Metaepoch mean: 0.7087, std: 0.01
	Metaepoch max performer: 0.7312, min performer: 0.6710

	Metaepoch mean: 0.7019, std: 0.01
	Metaepoch max performer: 0.7258, min performer: 0.6684

	Metaepoch mean: 0.7010, std: 0.01
	Metaepoch max performer: 0.7216, min performer: 0.6562

	Metaepoch mean: 0.7227, std: 0.01
	Metaepoch max performer: 0.7456, min performer: 0.6874

	Metaepoch mean: 0.7116, std: 0.01
	Metaepoch max performer: 0.7394, min performer: 0.6230

	Metaepoch mean: 0.7024, std: 0.01
	Metaepoch max performer: 0.7238, min performer: 0.6532

	Metaepoch mean: 0.7054, std: 0.01
	Metaepoch max performer: 0.7314, min performer: 0.6580

	Metaepoch mean: 0.7084, std: 0.01
	Metaepoch max performer: 0.7320, min performer: 0.6734

	Metaepoch mean: 0.7065, std: 0.01
	Metaepoch max performer: 0.7270, min performer: 0.6666

	Metaepoch mean: 0.7025, std: 0.01
	Metaepoch max performer: 0.7274, min performer: 0.6702

	Metaepoch mean: 0.7191, std: 0.01
